Sr.No.,Block Name ,SCHOOL NAME,SCHOOL CODE
1,L.M ,GMSSSS LAKHANMAJRA ,2665
2,L.M ,GSSS SUNDERPUR ,2691
3,L.M ,GGSSS Lakhan Majra ,2719
4,L.M ,GGSSS BAINSI ,2648
5,L.M ,GHS Chandi,2770
6,L.M ,GGSSS Chandi ,2702
7,L.M ,GSSS Chiri,2650
8,L.M ,GGSSS Chiri,2811
9,L.M ,GSSS Gharawathi,2737
10,L.M ,GGSSS KHARAINTI,2660
11,L.M ,GSSS KHARAK JATAN,2705
12,L.M ,GHS BAINSI ,2717
13,L.M ,GHS Gugaheri ,2777
14,L.M ,PM SHRI GSSS TITOLI,2708
15,L.M ,GSSS KHARANTI,2704
16,L.M ,GHS NANDAL,2758
17,L.M ,Gms sisroli,6274
18,L.M ,Gms indergarh,5906
19,Kalanaur ,G.S.S.S.Anwal,2797
20,Kalanaur ,G.S.S.S.Baniyani,2756
21,Kalanaur ,G.G.S.S.S.Baniyani,29484
22,Kalanaur ,G.S.S.S.Bhalianandpur,2728
23,Kalanaur ,G.S.S.S.Garnawthi,2653
24,Kalanaur ,G.S.S.S Gudhan,2796
25,Kalanaur ,G.S.S.S Kahanaur,2655
26,Kalanaur ,G.G.S.S.S Kahanaur ,2813
27,Kalanaur ,G.M.S.S.S.S.Kalanaur,4214
28,Kalanaur ,G.G.S.S.S.Kalanaur,2656
29,Kalanaur ,G.S.S.S.Katesra,2753
30,Kalanaur ,G.S.S.S.Lahli,2763
31,Kalanaur ,G.S.S.S.Marodhijattan,2690
32,Kalanaur ,G.S.S.S.Nigana,2757
33,Kalanaur ,G.S.S.S.Sundana,2682
34,Kalanaur ,G.S.S.S Saimpal,2729
35,Kalanaur ,G.S.S.S.Kakrana,2709
36,Kalanaur ,G.S.S.S Kherari,2781
37,Kalanaur ,G.S.S.S.Pilana,2734
38,Kalanaur ,G.S.S.S. Sangahera,2723
39,Kalanaur ,G.G.H.S.Anwal,2735
40,Kalanaur ,G.H.S.Basana,2736
41,Kalanaur ,G.H.S.Ballab,2803
42,Kalanaur ,G.H.S.Garhiballab,2807
43,Kalanaur ,G.H.S.Jindran ,2791
44,Kalanaur ,G.H.S.Masudpur,2730
45,Kalanaur ,G.H.S.Patwapur,2782
46,Kalanaur ,G.G.H.S.Sundana,2754
47,Kalanaur ,G.M.S. Kalanaur Kalan,6010
48,Kalanaur ,G.M. S Jethpur,29344
49,Meham,GGMS Ajaib,5897
50,Meham,GMS Bhaini Surjan,2778
51,Meham,GMS Bedwa,2805
52,Meham,GGMS Farmana B. Pur,4655
53,Meham,GGMS Farmana New,6595
54,Meham,GMS Imligarh,6004
55,Meham,GGMS Madina,6594
56,Meham,GMS Mokhra Kheri Roz,6418
57,Meham,GGHS Bharan,2686
58,Meham,GHS Bhaini Bharon,2793
59,Meham,GGHS BHAINI MATO,2743
60,Meham,GGHS GORAWAR,2792
61,Meham,GHS KHARKARA,2795
62,Meham,GHS MURADPUR TEKNA,2780
63,Meham,GSSS Bhaini Maharajpur,2769
64,Meham,GSSS AJAIB,2695
65,Meham,GSSS BEHLBA,2647
66,Meham,GGSSS BEHLBA,2809
67,Meham,GSSS BHAINI CHANDERPAL,2726
68,Meham,GSSS BHARAN,2710
69,Meham,GSSS FARMANA,2652
70,Meham,GGSSS FARMANA,2711
71,Meham,GSSS GORAWAR,2701
72,Meham,GGSSS KHARKARA,2659
73,Meham,GSSS Kheri Meham,2768
74,Meham,GSSS Kishan Garh,5902
75,Meham,GSSS MADINA,2697
76,Meham,GGSSS MADINA,2666
77,Meham,GSSS MEHAM,2749
78,Meham,GGSSS MEHAM,2667
79,Meham,GSSS MOKHRA,2724
80,Meham,GGSSS MOKHRA,2668
81,Meham,GSSS NARAINA,2744
82,Meham,GSSS NINDANA,2669
83,Meham,GGSSS NINDANA,2798
84,Meham,GSSS SAIMAN,2815
85,Meham,GGSSS SAIMAN,2678
86,Meham,GSSS SISAR KHAS,2731
87,Rohtak,GGSSS ASSAN,2733
88,Rohtak,GGSSS BAHUAKBERPUR,2718
89,Rohtak,GGSSS BALAND,2707
90,Rohtak,GGSSS BHALOUT,2649
91,Rohtak,GGSSS BOHAR,2810
92,Rohtak,GGSSS GANDHI NAGAR,2675
93,Rohtak,GGSSS HISSAR ROAD,2673
94,Rohtak,GGSSS KANSALA,2658
95,Rohtak,GGSSS KARONTHA,4089
96,Rohtak,GGSSS KHIDWALI,2720
97,Rohtak,GGSSS MAINA,2801
98,Rohtak,GGSSS MODEL TOWN,2676
99,Rohtak,GGSSS RURKI,2700
100,Rohtak,GMSSS SANGHI,2681
101,Rohtak,GMSSSS BHIWANI ROAD RTK,2672
102,Rohtak,GSSS ASSAN,2699
103,Rohtak,GSSS BAHUAKBERPUR,2646
104,Rohtak,GSSS BAKEHTA,2732
105,Rohtak,GSSS BHAGWATIPUR,2696
106,Rohtak,GSSS BHALOUT,4654
107,Rohtak,GSSS BRAHMANWAS,2751
108,Rohtak,GSSS CHAMARIAN,2693
109,Rohtak,GSSS DHAMAR,2689
110,Rohtak,GSSS DOBH,2714
111,Rohtak,GSSS GADDI KHERI,2727
112,Rohtak,GSSS GANDHI NAGAR,2674
113,Rohtak,GSSS GHILOUR KALAN,2715
114,Rohtak,GSSS HAMAYUPUR,2688
115,Rohtak,GSSS JASSIA,2741
116,Rohtak,GSSS KAHNI,2742
117,Rohtak,GSSS KARONTHA,2760
118,Rohtak,GSSS KHIDWALI,2662
119,Rohtak,GGSSS KILOI,2664
120,Rohtak,GSSS LADHOUT,2814
121,Rohtak,GSSS MAKRAULI KALAN,2692
122,Rohtak,GSSS MUNGAN,2722
123,Rohtak,GSSS PEHRAWAR,2748
124,Rohtak,GSSS RITAULI,2804
125,Rohtak,GSSS RITHAL,2677
126,Rohtak,GSSS RURKEE,2694
127,Rohtak,GSSS SAMARGOPALPUR,2680
128,Rohtak,GSSS SANGHI,2687
129,Rohtak,GSSS SINGHPURA KHURD,2766
130,Rohtak,GSSS SUNARIAN,2745
131,Rohtak,GSSS KILOI ,2663
132,Rohtak,GSSS SUKHPURA,2740
133,Sampla ,GSSS BALIANA,2716
134,Sampla ,GSSS CHULIANA,2712
135,Sampla ,GSSS DATTAUR,2651
136,Sampla ,GGSSS HASSANGARH,2747
137,Sampla ,GGSSS ISMAILA,4020
138,Sampla ,GSSS KHARAWAR,2808
139,Sampla ,GSSS KHERI SADH,2661
140,Sampla ,GSSS MORKHERI,2738
141,Sampla ,GSSS PAKASMA,2670
142,Sampla ,GGSSS PAKASMA,2671
143,Sampla ,GGSSS SAMPLA,2698
144,Sampla ,GSSS SAMCHANA,2683
145,Sampla ,GSSS SAMPLA,2679
146,Sampla ,GGSSS KHARAWAR,2657
147,Sampla ,GSSS ATAIL,2684
148,Sampla ,GSSS ISMAILA,2654
149,Sampla ,GSSS GANDHRA,2762
150,Sampla ,GGSSS GANDHRA,2773
151,Sampla ,GSSS KAROR,2752
152,Sampla ,GHS HASSANGARH,2746
153,Sampla ,GHS KULTANA,2725
154,Sampla ,GHS NAYA BANS,2759
155,Sampla ,GHS NONAND,2800
156,Sampla ,GGHS ATAIL,4221
157,Sampla ,GGHS BALIANA,2787
158,Sampla ,GHS GARHI SAMPLA,2767
159,Sampla ,GGHS SAMCHANA,4222
160,Sampla ,GGHS GIJHI ,2790
161,Sampla ,GHS GIJHI,2775
162,Sampla ,GHS B.KALAN,2802
163,Sampla ,GHS B.KHURD,2713
164,Sampla ,GGHS CHULIANA,2771
