(Recognized )Private School List District Rohtak Year 2024,,
SR.NO ,Block Name ,SCHOOL NAME 
1,Kalanaur,ADARSH  HIGH SCH. BALLAB[25155]
2,Kalanaur,ADARSH HIGH SCHOOL BASANA[25156]
3,Kalanaur,D.A.V.CENT. PUB.SCH.KALANAUR[25160]
4,Kalanaur,SB MODELE SCHOOL BANIYANI
5,Kalanaur,GOLDEN CRESENT PUBLIC SCHOOL[25164]
6,Kalanaur,J.K.M. SR. SEC. SCHOOL KALANAUR[25166]
7,Kalanaur,L.B.S SR. SEC. SCH. KAHANAUR[25167]
8,Kalanaur,"Maa Saraswati Institute of Engineering & Technology
[27513]"
9,Kalanaur,NEWTON PUBLIC SR SEC SCHOOL PILANA[25172]
10,Kalanaur,PANCHTIRTHI SR.SEC..SCH.KALANAUR[25173]
11,Kalanaur,S.G.D.S.D. SR. SEC. SCH. KALANAUR[25178]
12,Kalanaur,S.G.N.M.HIGH SCH.ANWAL[25179]
13,Kalanaur,S.V.M.HIGH SCHOOL KAHNAUR[25180]
14,Kalanaur,SANSKAR VALLEY PUBLIC SCHOOL PATWAPUR[25181]
15,Kalanaur,SATI BAI SAI DASS PUBLIC KALANAUR[25182]
16,Kalanaur,SDVP GURUKUL KALANAUR[25183]
17,Kalanaur,SHIVOM MODEL SR. SEC. SCH. NIGANA[25184]
18,Kalanaur,SHYAM SUNDER SHIKSHA SADAN SENIOR SECONDARY SCHOOL NIGANA ROHTAK[25185]
19,Kalanaur,SIDHARTH SR.SEC.SCH.KALANAUR[25186]
20,Kalanaur,TRIVENI PUBLIC SCHOOLKALANAUR[25187]
21,Kalanaur,VED MODEL SR.SEC.SCH.KALANAUR[25188]
22,Sampla,"CHARANSINGH SR SEC SCHOOL ,  ATAIL"
23,Sampla,MEGHA RAM HIGH SCHOOL  B/KHURD
24,Sampla,BAL KALYAN HIGH SCHOOL  GANDHRA
25,Sampla,"HARYANA HIGH SCHOOL,  ISMAILA"
26,Sampla,DGV SR SEC SCHOOL  KHERI SADH
27,Sampla,ADARSH SR.SEC.SCHOOL  KHERI  SAMPLA
28,Sampla,JAN KALYAN SR.SEC.SCHOOL KHERI  SAMPLA
29,Sampla,"A.F.C.SR.SEC.SCHOOL, KHERI  SAMPLA"
30,Sampla,S.V.INTERNATIONAL SCHOOL  GARHI SAMPLA
31,Sampla,"PRAGYA HIGH SCHOOL,SAMPLA"
32,Sampla,"VIDYA BHARTI SR.SEC.SCHOOL, SAMPLA"
33,Sampla,DEEP ARYA  HIGH SCHOOL SAMPLA
34,Sampla,JEEVAN JYOTI PUBLIC HIGH SCHOOL  ISMAILA
35,Sampla,SMP HIGH SCHOOL SAMPLA 
36,Sampla,DAV HASSANGARH
37,Sampla,"TIMES INTERNATIONAL SCHOOL, KISRAINT"
38,Sampla,THE GLOBAL SCHOOL ATAIL
39,Sampla,VIKRAMADITYA GLOBAL HIGH SCHOOL MORKHERI ROHTAK
40,Rohtak,"THE SANSKRITI SCHOOL, GOHANA ROAD-ROHTAK"
41,Rohtak,INDUS PUBLIC SCHOOL -ROHTAK
42,Rohtak,SWAMI NITYANAND SR. SEC. SCHOOL -ROHTAK
43,Rohtak,JOHN WESLEY CONVENT SCHOOL -ROHTAK
44,Rohtak,"M.N.A.SS SCHOOL, KUTANA BASTI-ROHTAK"
45,Rohtak,"GYAN MANDAL HIGH SCHOOL, KABULPUR-ROHTAK"
46,Rohtak,N.I.C SR. SEC. SCHOOL-ASSAN (ROHTAK)
47,Rohtak,"S.D. HIGH SCHOOL, KHIDWALI (ROHTAK)"
48,Rohtak,SHEETAL SPORTS SR. SEC. SCHOOL-KILOI (ROHTAK)
49,Rohtak,"SHIVA HIGH SCHOOL, CHAMARIAN-ROHTAK"
50,Rohtak,"SH. BABA HARIDAS SSS SCHOOL, KANSALA-ROHTAK"
51,Rohtak,SILVER BELLS PUBLIC SCHOOL -ROHTAK
52,Rohtak,"S.D.M HIGH SCHOOL, KABULPUR-ROHTAK"
53,Rohtak,"K.V.M PUBLIC SCHOOL, LADHOT RD-"
54,Rohtak,"H.D PUBLIC SCHOOL, BAHUAKBARPUR "
55,Rohtak,SUN SHINE SR. SEC. CHAMARIAN 
56,Rohtak,DUHAN PUBLIC SCHOOL
57,Rohtak,"SH. JYOTI PARKASH SCHOOL, JASSIA"
58,Rohtak,"S.B. MODEL SCHOOL, BHIWANI RD."
59,Rohtak,"H.D PUBLIC SCHOOL, BALAND"
60,Rohtak,"ST. MARY SR. SEC. SCHOOL, BAHUAKBARPUR"
61,Rohtak,SCHOLAR ROSARY SR. SEC. SCHOOL 
62,Rohtak,"SEA & SKY CONVENT SCHOOL, HUMAYUNPUR "
63,Rohtak,"S.D. MEMORIAL CONVENT PUBLIC SCHOOL, KILOI"
64,Rohtak,"ZAD GLOBAL SCHOOL ,BAGWATIPUR"
65,Rohtak,JAN SEVA SANSTHAN PUBLIC SCHOOL 
66,Rohtak,"G.D GOYENKA SCHOOL,BHALAUT"
67,Rohtak,THE MODERN PUBLIC SCHOOL 
68,Rohtak,"K.D HIGH SCHOOL , LADHOT RD."
69,Rohtak,CITY HIGH SCHOOL
